1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
3087,9,Set 2; 0:0; 0:40*,5418,Ethan Zou,John Wehrle,Winner/Provoked Point,Winner,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Defensive,Ending shot. Deep,John Wehrle,2nd serve,Ad court (T),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Cheap Point on return,
3122,7,Set 2; 0:0; 15:40*,5423,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Short,John Wehrle,2nd serve,Deuce court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
3170,8,Set 2; 0:0; 30:40*,5429,John Wehrle,Ethan Zou,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,John Wehrle,2nd serve,Ad court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
3247,13,Set 2; 0:1; *0:0,5438,Ethan Zou,John Wehrle,Winner/Provoked Point,Winner,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Half court zone,Ending shot. Short,Ethan Zou,2nd serve,Deuce court (T),Return. Forehand,John Wehrle,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
3278,8,Set 2; 0:1; *15:0,5442,Ethan Zou,John Wehrle,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Short,Ethan Zou,1st serve,Ad court (T),Return. Forehand,John Wehrle,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on serve,
3312,12,Set 2; 0:1; *30:0,5451,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Ethan Zou,2nd serve,Deuce court (T),Return. Backhand,John Wehrle,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
3340,17,Set 2; 0:1; *40:0,5462,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,9+ shots,10,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Short,Ethan Zou,1st serve,Ad court (T),Return. Forehand,John Wehrle,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
3383,19,Set 2; 1:1; 0:0*,5473,John Wehrle,Ethan Zou,Unforced Error,Unforced Error,9+ shots,10,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Short,John Wehrle,1st serve,Deuce court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
3424,15,Set 2; 1:1; 0:15*,5482,John Wehrle,Ethan Zou,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Deep,John Wehrle,1st serve,Ad court (Body),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
3456,11,Set 2; 1:1; 0:30*,5488,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,John Wehrle,1st serve,Deuce court (Body),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
3487,10,Set 2; 1:1; 15:30*,5494,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Short,John Wehrle,1st serve,Ad court (T),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
3540,17,Set 2; 1:1; 30:30*,5505,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,9+ shots,9,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,John Wehrle,2nd serve,Deuce court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
3578,12,Set 2; 1:1; 40:30*,5513,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,5-8 shots,7,Break Point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Down the line,Ending shot. Defensive,Ending shot. Middle,John Wehrle,1st serve,Ad court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
3722,7,Set 2; 2:1; *0:0,5518,John Wehrle,Ethan Zou,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Center,Ending shot. Defensive,Ending shot. Short,Ethan Zou,2nd serve,Deuce court (T),Return. Forehand,John Wehrle,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
3775,21,Set 2; 2:1; *0:15,5532,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,9+ shots,12,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Middle,Ethan Zou,2nd serve,Ad court (Wide),Return. Backhand,John Wehrle,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
3816,5,Set 2; 2:1; *15:15,5534,Ethan Zou,John Wehrle,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Ethan Zou,1st serve,Deuce court (T),Return. Backhand,John Wehrle,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,,,,,,Cheap Point on serve,
3834,12,Set 2; 2:1; *30:15,5541,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Middle,Ethan Zou,1st serve,Ad court (T),Return. Forehand,John Wehrle,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
3868,9,Set 2; 2:1; *40:15,5547,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Short,Ethan Zou,2nd serve,Deuce court (T),Return. Forehand,John Wehrle,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
3909,16,Set 2; 3:1; 0:0*,5558,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,John Wehrle,2nd serve,Deuce court (T),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
3961,21,Set 2; 3:1; 15:0*,5572,Ethan Zou,John Wehrle,Winner/Provoked Point,Winner,9+ shots,12,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Middle,John Wehrle,2nd serve,Ad court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
4030,7,Set 2; 3:1; 30:0*,5576,John Wehrle,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Deep,John Wehrle,2nd serve,Deuce court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,,,,,,Not a Cheap point,
4062,6,Set 2; 3:1; 30:15*,5578,John Wehrle,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Short,John Wehrle,1st serve,Ad court (Wide),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
4084,12,Set 2; 3:1; 30:30*,5583,John Wehrle,Ethan Zou,Winner/Provoked Point,Provoked Point,5-8 shots,6,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,John Wehrle,1st serve,Deuce court (T),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on serve,
4120,12,Set 2; 3:1; 30:40*,5591,John Wehrle,Ethan Zou,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Short,John Wehrle,1st serve,Ad court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
4268,14,Set 2; 3:2; *0:0,5599,Ethan Zou,John Wehrle,Winner/Provoked Point,Provoked Point,5-8 shots,8,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Ethan Zou,1st serve,Deuce court (T),Return. Backhand,John Wehrle,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
