1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
6601,13,Set 2; 6:6; *2:4,6094,Talman Ramsey,Sam English,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Approach Shot,Center,Ending shot. Neutral Aggressive,Ending shot. Short,Sam English,1st serve,Deuce court (Wide),Return. Forehand,Talman Ramsey,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
6638,13,Set 2; 6:6; 2:5*,6101,Sam English,Talman Ramsey,Winner/Provoked Point,Provoked Point,5-8 shots,7,Non-stress point,Tie-break,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Middle,Talman Ramsey,1st serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
6664,9,Set 2; 6:6; 3:5*,6106,Talman Ramsey,Sam English,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Half court zone,Ending shot. Deep,Talman Ramsey,1st serve,Deuce court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
6700,5,Set 2; 6:6; *3:6,6109,Sam English,Talman Ramsey,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Tie-break,Ending shot. Serve,,,,,Sam English,1st serve,Ad court (T),Return. Forehand,Talman Ramsey,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,,,,,,Cheap Point on serve,
6737,35,Set 2; 6:6; *4:6,6132,Sam English,Talman Ramsey,Winner/Provoked Point,Provoked Point,9+ shots,22,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Sam English,2nd serve,Deuce court (Body),Return. Forehand,Talman Ramsey,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
6799,22,Set 2; 6:6; 5:6*,6146,Sam English,Talman Ramsey,Winner/Provoked Point,Provoked Point,9+ shots,13,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Approach Shot,Inside in,Ending shot. Half court zone,Ending shot. Deep,Talman Ramsey,1st serve,Ad court (Body),Return. Backhand,Sam English,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
6892,21,Set 2; 6:6; 6:6*,6161,Sam English,Talman Ramsey,Winner/Provoked Point,Winner,9+ shots,12,Non-stress point,Tie-break,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Talman Ramsey,2nd serve,Deuce court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
6950,18,Set 2; 6:6; *7:6,6171,Sam English,Talman Ramsey,Winner/Provoked Point,Winner,9+ shots,9,Non-stress point,Tie-break,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Sam English,1st serve,Ad court (Wide),Return. Backhand,Talman Ramsey,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
7252,11,Set 3; 0:0; *0:0,6180,Sam English,Talman Ramsey,Winner/Provoked Point,Winner,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Smash,,Ending shot. Net Area,Ending shot. Deep,Sam English,1st serve,Deuce court (T),Return. Backhand,Talman Ramsey,Return. Slice,Center,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
7287,5,Set 3; 0:0; *15:0,6182,Sam English,Talman Ramsey,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Sam English,1st serve,Ad court (Wide),,Talman Ramsey,,,,,,,,,,Ace/Serve-winner,
7314,21,Set 3; 0:0; *30:0,6194,Talman Ramsey,Sam English,Winner/Provoked Point,Provoked Point,9+ shots,13,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Middle,Sam English,1st serve,Deuce court (Body),Return. Forehand,Talman Ramsey,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
7361,7,Set 3; 0:0; *30:15,6199,Sam English,Talman Ramsey,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Half court zone,Ending shot. Short,Sam English,1st serve,Ad court (Wide),Return. Backhand,Talman Ramsey,Return. Slice,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Volley Smash,,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Cheap Point on serve,
7393,14,Set 3; 0:0; *40:15,6207,Sam English,Talman Ramsey,Winner/Provoked Point,Winner,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Sam English,1st serve,Deuce court (T),Return. Backhand,Talman Ramsey,Return. Slice,Cross,Return. Neutral defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
