1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1503,8,Set 1; 3:3; *40:40,5230,Luke Feng,Josh Kim,Winner/Provoked Point,Provoked Point,3-4 shots,3,30:30 and 40:40,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Short,Josh Kim,1st serve,Deuce court (T),Return. Backhand,Luke Feng,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Center,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Cheap Point on return,
1618,25,Set 1; 3:4; 0:0*,5244,Luke Feng,Josh Kim,Unforced Error,Unforced Error,9+ shots,12,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Approach Shot,Cross,Ending shot. Half court zone,Ending shot. Deep,Luke Feng,1st serve,Deuce court (T),Return. Backhand,Josh Kim,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
1690,22,Set 1; 3:4; 0:15*,5262,Luke Feng,Josh Kim,Unforced Error,Unforced Error,9+ shots,16,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Luke Feng,2nd serve,Ad court (T),Return. Forehand,Josh Kim,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
1767,5,Set 1; 3:4; 0:30*,5265,Josh Kim,Luke Feng,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Luke Feng,2nd serve,Deuce court (Body),,Josh Kim,,,,,,,,,,Not a Cheap point,
1792,11,Set 1; 3:4; 15:30*,5270,Josh Kim,Luke Feng,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Aggressive,Ending shot. Deep,Luke Feng,1st serve,Ad court (T),Return. Forehand,Josh Kim,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1835,23,Set 1; 3:4; 30:30*,5284,Josh Kim,Luke Feng,Winner/Provoked Point,Provoked Point,9+ shots,13,30:30 and 40:40,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Luke Feng,2nd serve,Deuce court (Wide),Return. Forehand,Josh Kim,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1901,10,Set 1; 3:4; 40:30*,5291,Josh Kim,Luke Feng,Unforced Error,Unforced Error,5-8 shots,5,Break Point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Luke Feng,1st serve,Ad court (Body),Return. Backhand,Josh Kim,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
1942,5,Set 1; 4:4; *0:0,5294,Luke Feng,Josh Kim,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Josh Kim,2nd serve,Deuce court (Body),,Luke Feng,,,,,,,,,,Not a Cheap point,
1958,8,Set 1; 4:4; *0:15,5297,Josh Kim,Luke Feng,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Deep,Josh Kim,1st serve,Ad court (Wide),Return. Backhand,Luke Feng,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
1993,5,Set 1; 4:4; *15:15,5301,Luke Feng,Josh Kim,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Josh Kim,2nd serve,Deuce court (Body),,Luke Feng,,,,,,,,,,Not a Cheap point,
