1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1183,11,Set 1; 4:2; 15:15*,5176,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Slice/Other,Down the line,Ending shot. Net Area,Ending shot. Short,Tarm Rojanasoonthon,1st serve,Deuce court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
1225,8,Set 1; 4:2; 30:15*,5181,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,3-4 shots,3,15:30 and 0:30,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Short,Tarm Rojanasoonthon,2nd serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
1262,8,Set 1; 4:2; 40:15*,5185,Sam English,Tarm Rojanasoonthon,Winner/Provoked Point,Provoked Point,3-4 shots,3,Break Point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Middle,Tarm Rojanasoonthon,2nd serve,Deuce court (T),Return. Forehand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Cheap Point on return,
1378,6,Set 1; 5:2; *0:0,5190,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Sam English,2nd serve,Deuce court (Body),Return. Backhand,Tarm Rojanasoonthon,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
1404,10,Set 1; 5:2; *15:0,5194,Tarm Rojanasoonthon,Sam English,Winner/Provoked Point,Provoked Point,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Sam English,1st serve,Ad court (Body),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on return,
1426,10,Set 1; 5:2; *15:15,5199,Sam English,Tarm Rojanasoonthon,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Half court zone,Ending shot. Deep,Sam English,1st serve,Deuce court (Wide),Return. Backhand,Tarm Rojanasoonthon,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,true
1447,30,Set 1; 5:2; *30:15,5220,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,9+ shots,19,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Sam English,1st serve,Ad court (T),Return. Backhand,Tarm Rojanasoonthon,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
1523,5,Set 1; 5:2; *30:30,5223,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,1-2 shots,1,30:30 and 40:40,Middle: 5-8 game,Ending shot. Serve,,,,,Sam English,2nd serve,Deuce court (T),,Tarm Rojanasoonthon,,,,,,,,,,Not a Cheap point,
1574,9,Set 1; 5:2; *30:40,5227,Sam English,Tarm Rojanasoonthon,Winner/Provoked Point,Provoked Point,3-4 shots,4,Break Point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside in,Ending shot. Half court zone,Ending shot. Deep,Sam English,2nd serve,Ad court (Wide),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside in,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
1609,7,Set 1; 5:2; *40:40,5232,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,3-4 shots,3,30:30 and 40:40,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Half court zone,Ending shot. Short,Sam English,1st serve,Deuce court (Body),Return. Backhand,Tarm Rojanasoonthon,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
1649,9,Set 1; 5:3; 0:0*,5237,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Defensive,Ending shot. Short,Tarm Rojanasoonthon,1st serve,Deuce court (T),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1675,6,Set 1; 5:3; 0:15*,5240,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Deep,Tarm Rojanasoonthon,1st serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
1697,5,Set 1; 5:3; 0:30*,5242,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Tarm Rojanasoonthon,2nd serve,Deuce court (T),,Sam English,,,,,,,,,,Not a Cheap point,
1712,11,Set 1; 5:3; 15:30*,5247,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Slice,Center,Ending shot. Neutral Defensive,Ending shot. Short,Tarm Rojanasoonthon,1st serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1738,16,Set 1; 5:3; 30:30*,5257,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,9+ shots,9,30:30 and 40:40,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Short,Tarm Rojanasoonthon,1st serve,Deuce court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1782,31,Set 1; 5:3; 40:30*,5275,Sam English,Tarm Rojanasoonthon,Winner/Provoked Point,Provoked Point,9+ shots,17,Break Point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside out,Ending shot. Half court zone,Ending shot. Short,Tarm Rojanasoonthon,2nd serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
1971,24,Set 2; 0:0; *0:0,5294,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,9+ shots,15,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Short,Sam English,1st serve,Deuce court (T),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2034,6,Set 2; 0:0; *0:15,5298,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Short,Sam English,2nd serve,Ad court (Wide),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Short,,,,,,Not a Cheap point,
2077,10,Set 2; 0:0; *15:15,5304,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Sam English,2nd serve,Deuce court (Body),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Down the line,Return. Half court zone,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2123,5,Set 2; 0:0; *15:30,5307,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,1-2 shots,1,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Serve,,,,,Sam English,2nd serve,Ad court (Wide),,Tarm Rojanasoonthon,,,,,,,,,,Not a Cheap point,
2162,9,Set 2; 0:0; *15:40,5313,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,5-8 shots,5,Break Point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Half court zone,Ending shot. Short,Sam English,2nd serve,Deuce court (T),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
