1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
4059,9,Set 2; 2:4; *15:0,5414,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Ethan Zou,1st serve,Ad court (Body),Return. Forehand,Charlie Coleman,Return. Slice,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
4087,10,Set 2; 2:4; *30:0,5421,Charlie Coleman,Ethan Zou,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Passing Shot,Inside in,Ending shot. Neutral Defensive,Ending shot. Short,Ethan Zou,2nd serve,Deuce court (T),Return. Backhand,Charlie Coleman,Return. Approach Shot,Center,Return. Half court zone,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Passing Shot,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
4112,6,Set 2; 2:4; *30:15,5423,Ethan Zou,Charlie Coleman,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Ethan Zou,1st serve,Ad court (Wide),Return. Backhand,Charlie Coleman,Return. Slice,Center,Return. Neutral basic,Return. Short,,,,,,Cheap Point on serve,
4129,12,Set 2; 2:4; *40:15,5430,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Ethan Zou,1st serve,Deuce court (T),Return. Backhand,Charlie Coleman,Return. Slice,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
4292,8,Set 2; 3:4; 0:0*,5434,Charlie Coleman,Ethan Zou,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Deep,Charlie Coleman,1st serve,Deuce court (Wide),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on serve,
4344,5,Set 2; 3:4; 0:15*,5438,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Charlie Coleman,2nd serve,Ad court (Body),,Ethan Zou,,,,,,,,,,Not a Cheap point,
4368,6,Set 2; 3:4; 15:15*,5441,Charlie Coleman,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Charlie Coleman,2nd serve,Deuce court (Wide),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,,,,,,Not a Cheap point,
4404,5,Set 2; 3:4; 15:30*,5443,Charlie Coleman,Ethan Zou,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Charlie Coleman,2nd serve,Ad court (T),,Ethan Zou,,,,,,,,,,Ace/Serve-winner,
4433,5,Set 2; 3:4; 15:40*,5444,Charlie Coleman,Ethan Zou,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Charlie Coleman,1st serve,Deuce court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
4465,12,Set 2; 3:5; *0:0,5451,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Half court zone,Ending shot. Short,Ethan Zou,1st serve,Deuce court (T),Return. Backhand,Charlie Coleman,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
4495,13,Set 2; 3:5; *15:0,5458,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Short,Ethan Zou,1st serve,Ad court (Wide),Return. Backhand,Charlie Coleman,Return. Slice,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
4526,14,Set 2; 3:5; *30:0,5466,Charlie Coleman,Ethan Zou,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Ethan Zou,1st serve,Deuce court (T),Return. Forehand,Charlie Coleman,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
4560,6,Set 2; 3:5; *30:15,5469,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Ethan Zou,1st serve,Ad court (Wide),Return. Backhand,Charlie Coleman,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
4577,6,Set 2; 3:5; *40:15,5471,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Ethan Zou,1st serve,Deuce court (Wide),Return. Forehand,Charlie Coleman,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
