1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
444,14,Set 1; 2:1; *0:0,5075,Advik Mareedu,Drew Goldman,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Advik Mareedu,2nd serve,Deuce court (T),Return. Forehand,Drew Goldman,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
494,12,Set 1; 2:1; *15:0,5084,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Short,Advik Mareedu,2nd serve,Ad court (Body),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
543,5,Set 1; 2:1; *15:15,5086,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Advik Mareedu,1st serve,Deuce court (T),,Drew Goldman,,,,,,,,,,Ace/Serve-winner,
563,5,Set 1; 2:1; *30:15,5087,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Advik Mareedu,1st serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,,,,,,Cheap Point on serve,
580,7,Set 1; 2:1; *40:15,5091,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Advik Mareedu,1st serve,Deuce court (Wide),Return. Forehand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
596,5,Set 1; 2:1; *40:30,5093,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Advik Mareedu,1st serve,Ad court (Wide),,Drew Goldman,,,,,,,,,,Ace/Serve-winner,
621,6,Set 1; 3:1; 0:0*,5095,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Drew Goldman,1st serve,Deuce court (Wide),Return. Forehand,Advik Mareedu,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,,,,,,Not a Cheap point,
646,15,Set 1; 3:1; 0:15*,5105,Advik Mareedu,Drew Goldman,Unforced Error,Unforced Error,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Middle,Drew Goldman,2nd serve,Ad court (Body),Return. Backhand,Advik Mareedu,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
679,5,Set 1; 3:1; 15:15*,5107,Drew Goldman,Advik Mareedu,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Drew Goldman,1st serve,Deuce court (T),,Advik Mareedu,,,,,,,,,,Ace/Serve-winner,
700,6,Set 1; 3:1; 15:30*,5108,Drew Goldman,Advik Mareedu,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Drew Goldman,1st serve,Ad court (Wide),Return. Backhand,Advik Mareedu,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
732,10,Set 1; 3:1; 15:40*,5114,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Provoked Point,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Cross,Ending shot. Half court zone,Ending shot. Middle,Drew Goldman,2nd serve,Deuce court (T),Return. Backhand,Advik Mareedu,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on return,
770,5,Set 1; 3:1; 30:40*,5118,Advik Mareedu,Drew Goldman,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Drew Goldman,2nd serve,Ad court (Body),,Advik Mareedu,,,,,,,,,,Not a Cheap point,
796,8,Set 1; 3:1; 40:40*,5123,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,3-4 shots,4,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Drew Goldman,2nd serve,Deuce court (Body),Return. Backhand,Advik Mareedu,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
860,6,Set 1; 3:2; *0:0,5126,Advik Mareedu,Drew Goldman,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Advik Mareedu,1st serve,Deuce court (Body),Return. Forehand,Drew Goldman,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
889,19,Set 1; 3:2; *15:0,5138,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Provoked Point,9+ shots,12,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Advik Mareedu,2nd serve,Ad court (Body),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
924,6,Set 1; 3:2; *30:0,5141,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Advik Mareedu,1st serve,Deuce court (T),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Deep,,,,,,Cheap Point on serve,
944,16,Set 1; 3:2; *40:0,5152,Advik Mareedu,Drew Goldman,Unforced Error,Unforced Error,9+ shots,10,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Advik Mareedu,1st serve,Ad court (Body),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
994,6,Set 1; 4:2; 0:0*,5155,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Drew Goldman,1st serve,Deuce court (Wide),Return. Forehand,Advik Mareedu,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,,,,,,Not a Cheap point,
1012,6,Set 1; 4:2; 0:15*,5157,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Short,Drew Goldman,1st serve,Ad court (Wide),Return. Backhand,Advik Mareedu,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
1033,5,Set 1; 4:2; 0:30*,5158,Drew Goldman,Advik Mareedu,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Drew Goldman,1st serve,Deuce court (T),,Advik Mareedu,,,,,,,,,,Ace/Serve-winner,
1051,12,Set 1; 4:2; 0:40*,5164,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Drew Goldman,1st serve,Ad court (Wide),Return. Backhand,Advik Mareedu,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
1131,5,Set 1; 4:3; *0:0,5166,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Advik Mareedu,1st serve,Deuce court (T),,Drew Goldman,,,,,,,,,,Ace/Serve-winner,
1157,7,Set 1; 4:3; *15:0,5170,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Advik Mareedu,2nd serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Half court zone,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
1175,10,Set 1; 4:3; *15:15,5177,Drew Goldman,Advik Mareedu,Winner/Provoked Point,Winner,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Lob,,Ending shot. Neutral Aggressive,Ending shot. Deep,Advik Mareedu,1st serve,Deuce court (T),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside in,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on return,
1210,16,Set 1; 4:3; *15:30,5187,Drew Goldman,Advik Mareedu,Winner/Provoked Point,Provoked Point,9+ shots,9,15:30 and 0:30,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Neutral Aggressive,Ending shot. Middle,Advik Mareedu,2nd serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
1265,5,Set 1; 4:3; *15:40,5190,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Winner,1-2 shots,1,Break Point,Middle: 5-8 game,Ending shot. Serve,,,,,Advik Mareedu,1st serve,Deuce court (Wide),,Drew Goldman,,,,,,,,,,Ace/Serve-winner,
1291,12,Set 1; 4:3; *30:40,5197,Drew Goldman,Advik Mareedu,Winner/Provoked Point,Winner,5-8 shots,6,Break Point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Half court zone,Ending shot. Middle,Advik Mareedu,2nd serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Cheap Point on return,
1340,9,Set 1; 4:4; 0:0*,5203,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Short,Drew Goldman,2nd serve,Deuce court (Wide),Return. Forehand,Advik Mareedu,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
1379,23,Set 1; 4:4; 0:15*,5220,Advik Mareedu,Drew Goldman,Unforced Error,Unforced Error,9+ shots,15,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Drew Goldman,2nd serve,Ad court (T),Return. Forehand,Advik Mareedu,Return. Topspin/Flat,Center,Return. Half court zone,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
1442,11,Set 1; 4:4; 15:15*,5228,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Winner,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Deep,Drew Goldman,2nd serve,Deuce court (T),Return. Backhand,Advik Mareedu,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Cheap Point on return,
1470,12,Set 1; 4:4; 30:15*,5234,Drew Goldman,Advik Mareedu,Winner/Provoked Point,Provoked Point,5-8 shots,6,15:30 and 0:30,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Short,Drew Goldman,1st serve,Ad court (T),Return. Forehand,Advik Mareedu,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Cheap Point on serve,
1515,23,Set 1; 4:4; 30:30*,5251,Drew Goldman,Advik Mareedu,Unforced Error,Unforced Error,9+ shots,14,30:30 and 40:40,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Short,Drew Goldman,2nd serve,Deuce court (Body),Return. Forehand,Advik Mareedu,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
1580,10,Set 1; 4:4; 30:40*,5258,Advik Mareedu,Drew Goldman,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Short,Drew Goldman,2nd serve,Ad court (Body),Return. Backhand,Advik Mareedu,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
1624,11,Set 1; 4:4; 40:40*,5266,Advik Mareedu,Drew Goldman,Winner/Provoked Point,Winner,5-8 shots,6,30:30 and 40:40,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Passing Shot,Down the line,Ending shot. Net Area,Ending shot. Deep,Drew Goldman,2nd serve,Deuce court (Body),Return. Forehand,Advik Mareedu,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on return,
