1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
4937,14,Set 2; 3:1; *30:15,5790,Kael Shalin Shah,Drew Goldman,Winner/Provoked Point,Winner,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Passing Shot,Cross,Ending shot. Half court zone,Ending shot. Middle,Kael Shalin Shah,2nd serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
4975,21,Set 2; 3:1; *40:15,5803,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Winner,9+ shots,12,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Short,Kael Shalin Shah,1st serve,Deuce court (T),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
5025,6,Set 2; 3:1; *40:30,5805,Kael Shalin Shah,Drew Goldman,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Kael Shalin Shah,1st serve,Ad court (T),Return. Forehand,Drew Goldman,Return. Slice,Cross,Return. Neutral basic,Return. Short,,,,,,Cheap Point on serve,
5133,9,Set 2; 4:1; 0:0*,5810,Drew Goldman,Kael Shalin Shah,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside center,Ending shot. Defensive,Ending shot. Deep,Drew Goldman,1st serve,Deuce court (Body),Return. Forehand,Kael Shalin Shah,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
5157,6,Set 2; 4:1; 0:15*,5812,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Drew Goldman,1st serve,Ad court (Body),Return. Forehand,Kael Shalin Shah,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
5178,18,Set 2; 4:1; 0:30*,5824,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Winner,9+ shots,11,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Drew Goldman,1st serve,Deuce court (Body),Return. Backhand,Kael Shalin Shah,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
5224,13,Set 2; 4:1; 0:40*,5831,Drew Goldman,Kael Shalin Shah,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Smash,,Ending shot. Half court zone,Ending shot. Deep,Drew Goldman,1st serve,Ad court (Body),Return. Backhand,Kael Shalin Shah,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
5311,6,Set 2; 4:2; *0:0,5835,Kael Shalin Shah,Drew Goldman,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Kael Shalin Shah,2nd serve,Deuce court (T),Return. Forehand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
5336,15,Set 2; 4:2; *15:0,5843,Kael Shalin Shah,Drew Goldman,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Kael Shalin Shah,1st serve,Ad court (T),Return. Forehand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
5364,11,Set 2; 4:2; *30:0,5850,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Winner,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Kael Shalin Shah,1st serve,Deuce court (T),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Cheap Point on return,
5396,8,Set 2; 4:2; *30:15,5854,Drew Goldman,Kael Shalin Shah,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside center,Ending shot. Neutral Defensive,Ending shot. Short,Kael Shalin Shah,1st serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
5441,16,Set 2; 4:2; *30:30,5866,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Winner,9+ shots,10,30:30 and 40:40,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Kael Shalin Shah,2nd serve,Deuce court (T),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Half court zone,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
5493,15,Set 2; 4:2; *30:40,5876,Kael Shalin Shah,Drew Goldman,Unforced Error,Unforced Error,5-8 shots,8,Break Point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Kael Shalin Shah,2nd serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Half court zone,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
5532,6,Set 2; 4:2; *40:40,5878,Kael Shalin Shah,Drew Goldman,Winner/Provoked Point,Provoked Point,1-2 shots,2,30:30 and 40:40,Middle: 5-8 game,Ending shot. Serve,,,,,Kael Shalin Shah,1st serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,,,,,,Cheap Point on serve,
5636,6,Set 2; 5:2; 0:0*,5882,Drew Goldman,Kael Shalin Shah,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Drew Goldman,2nd serve,Deuce court (Body),Return. Forehand,Kael Shalin Shah,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,,,,,,Not a Cheap point,
5663,16,Set 2; 5:2; 0:15*,5890,Drew Goldman,Kael Shalin Shah,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Half court zone,Ending shot. Short,Drew Goldman,1st serve,Ad court (T),Return. Forehand,Kael Shalin Shah,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside in,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
5708,6,Set 2; 5:2; 0:30*,5892,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Drew Goldman,1st serve,Deuce court (Wide),Return. Forehand,Kael Shalin Shah,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,,,,,,Cheap Point on serve,
5757,10,Set 2; 5:2; 0:40*,5899,Kael Shalin Shah,Drew Goldman,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Drew Goldman,2nd serve,Ad court (Body),Return. Forehand,Kael Shalin Shah,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
5783,8,Set 2; 5:2; 15:40*,5903,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Middle,Drew Goldman,1st serve,Deuce court (Body),Return. Backhand,Kael Shalin Shah,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Cheap Point on serve,
