1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
2757,12,Set 1; 5:5; 0:15*,5359,Luke Feng,Noah Lewis,Winner/Provoked Point,Winner,5-8 shots,6,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Defensive,Ending shot. Short,Noah Lewis,2nd serve,Ad court (Wide),Return. Backhand,Luke Feng,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on return,
2795,9,Set 1; 5:5; 15:15*,5365,Noah Lewis,Luke Feng,Winner/Provoked Point,Winner,5-8 shots,5,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Middle,Noah Lewis,1st serve,Deuce court (T),Return. Backhand,Luke Feng,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
2832,27,Set 1; 5:5; 15:30*,5383,Luke Feng,Noah Lewis,Unforced Error,Unforced Error,9+ shots,17,Non-stress point,End: 9-12 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Noah Lewis,1st serve,Ad court (Body),Return. Forehand,Luke Feng,Return. Slice,Center,Return. Half court zone,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
2931,6,Set 1; 5:5; 30:30*,5386,Noah Lewis,Luke Feng,Unforced Error,Unforced Error,1-2 shots,2,30:30 and 40:40,End: 9-12 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Noah Lewis,1st serve,Deuce court (T),Return. Backhand,Luke Feng,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Deep,,,,,,Not a Cheap point,
2956,9,Set 1; 5:5; 30:40*,5391,Luke Feng,Noah Lewis,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Middle,Noah Lewis,1st serve,Ad court (T),Return. Forehand,Luke Feng,Return. Slice,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2997,36,Set 1; 5:5; 40:40*,5414,Noah Lewis,Luke Feng,Unforced Error,Unforced Error,9+ shots,22,30:30 and 40:40,End: 9-12 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Noah Lewis,1st serve,Ad court (Wide),Return. Backhand,Luke Feng,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
3181,6,Set 1; 5:6; *0:0,5416,Luke Feng,Noah Lewis,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,End: 9-12 game,Ending shot. Serve,,,,,Luke Feng,1st serve,Deuce court (Body),Return. Forehand,Noah Lewis,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,,,,,,Cheap Point on serve,
3209,9,Set 1; 5:6; *15:0,5422,Luke Feng,Noah Lewis,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside center,Ending shot. Half court zone,Ending shot. Short,Luke Feng,2nd serve,Ad court (T),Return. Forehand,Noah Lewis,Return. Topspin/Flat,Center,Return. Half court zone,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
3245,25,Set 1; 5:6; *30:0,5438,Noah Lewis,Luke Feng,Unforced Error,Unforced Error,9+ shots,15,Non-stress point,End: 9-12 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Luke Feng,1st serve,Deuce court (Body),Return. Forehand,Noah Lewis,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
3303,5,Set 1; 5:6; *30:15,5441,Luke Feng,Noah Lewis,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,End: 9-12 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside center,Ending shot. Neutral Defensive,Ending shot. Short,Luke Feng,1st serve,Ad court (Body),Return. Forehand,Noah Lewis,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,,,,,,Not a Cheap point,
