1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1604,5,Set 1; 4:2; *30:30,5239,Leo Rocca,Sam Saeed,Winner/Provoked Point,Winner,1-2 shots,1,30:30 and 40:40,Middle: 5-8 game,Ending shot. Serve,,,,,Leo Rocca,1st serve,Deuce court (Wide),,Sam Saeed,,,,,,,,,,Ace/Serve-winner,
1631,15,Set 1; 4:2; *40:30,5246,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Short,Leo Rocca,1st serve,Ad court (T),Return. Forehand,Sam Saeed,Return. Slice,Down the line,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
1681,9,Set 1; 4:2; *40:40,5251,Leo Rocca,Sam Saeed,Winner/Provoked Point,Winner,3-4 shots,3,30:30 and 40:40,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Approach Shot,Cross,Ending shot. Half court zone,Ending shot. Deep,Leo Rocca,2nd serve,Ad court (Body),Return. Forehand,Sam Saeed,Return. Slice,Down the line,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
1790,8,Set 1; 5:2; 0:0*,5256,Leo Rocca,Sam Saeed,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Defensive,Ending shot. Short,Sam Saeed,2nd serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
1821,8,Set 1; 5:2; 15:0*,5259,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Short,Sam Saeed,1st serve,Ad court (Wide),Return. Forehand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
1860,8,Set 1; 5:2; 15:15*,5263,Leo Rocca,Sam Saeed,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Passing Shot,Down the line,Ending shot. Half court zone,Ending shot. Short,Sam Saeed,2nd serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Approach Shot,Cross,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Passing Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
1901,17,Set 1; 5:2; 30:15*,5273,Leo Rocca,Sam Saeed,Winner/Provoked Point,Provoked Point,9+ shots,9,15:30 and 0:30,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Aggressive,Ending shot. Short,Sam Saeed,2nd serve,Ad court (Body),Return. Forehand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
1959,10,Set 1; 5:2; 40:15*,5280,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,4,Break Point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Sam Saeed,2nd serve,Deuce court (Body),Return. Forehand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
1985,11,Set 1; 5:2; 40:30*,5286,Sam Saeed,Leo Rocca,Winner/Provoked Point,Winner,5-8 shots,5,Break Point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Sam Saeed,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
2044,10,Set 1; 5:2; 40:40*,5292,Leo Rocca,Sam Saeed,Winner/Provoked Point,Winner,3-4 shots,4,30:30 and 40:40,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Sam Saeed,2nd serve,Ad court (Wide),Return. Forehand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Cheap Point on return,
