1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1486,25,Set 1; 2:3; *15:40,5261,Leo Rocca,Ethan Zou,Winner/Provoked Point,Winner,9+ shots,14,Break Point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Half court zone,Ending shot. Middle,Ethan Zou,2nd serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Half court zone,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
1542,7,Set 1; 2:4; 0:0*,5263,Leo Rocca,Ethan Zou,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Leo Rocca,1st serve,Deuce court (Wide),Return. Forehand,Ethan Zou,Return. Slice,Cross,Return. Defensive,Return. Deep,,,,,,Cheap Point on serve,
1557,23,Set 1; 2:4; 0:15*,5278,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,9+ shots,14,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Leo Rocca,1st serve,Ad court (Wide),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1596,11,Set 1; 2:4; 0:30*,5284,Leo Rocca,Ethan Zou,Winner/Provoked Point,Winner,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Leo Rocca,1st serve,Deuce court (T),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
1622,7,Set 1; 2:4; 0:40*,5287,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Defensive,Ending shot. Deep,Leo Rocca,1st serve,Ad court (T),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
1744,7,Set 1; 2:5; *0:0,5289,Ethan Zou,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Ethan Zou,1st serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,,,,,,Not a Cheap point,
1767,8,Set 1; 2:5; *15:0,5292,Ethan Zou,Leo Rocca,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside in,Ending shot. Net Area,Ending shot. Deep,Ethan Zou,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Slice,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside in,Serve + 1 shot. Net Area,Serve + 1 shot. Deep,Cheap Point on serve,
1796,6,Set 1; 2:5; *30:0,5295,Ethan Zou,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Ethan Zou,1st serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
1818,10,Set 1; 2:5; *40:0,5300,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Slice,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Ethan Zou,1st serve,Ad court (Wide),Return. Forehand,Leo Rocca,Return. Slice,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
1856,5,Set 1; 2:5; *40:15,5303,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Ethan Zou,2nd serve,Deuce court (T),,Leo Rocca,,,,,,,,,,Not a Cheap point,
1878,8,Set 1; 2:5; *40:30,5306,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside center,Ending shot. Half court zone,Ending shot. Deep,Ethan Zou,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
1912,14,Set 1; 2:5; *40:40,5314,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,5-8 shots,7,30:30 and 40:40,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Deep,Ethan Zou,1st serve,Deuce court (Body),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
