1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1226,11,Set 1; 3:2; 15:30*,5217,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Blake Bothmer,1st serve,Ad court (Wide),Return. Backhand,Tanner Ige,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
1266,12,Set 1; 3:2; 30:30*,5225,Blake Bothmer,Tanner Ige,Unforced Error,Unforced Error,5-8 shots,6,30:30 and 40:40,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Deep,Blake Bothmer,2nd serve,Deuce court (T),Return. Backhand,Tanner Ige,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
1308,10,Set 1; 3:2; 30:40*,5230,Blake Bothmer,Tanner Ige,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Blake Bothmer,2nd serve,Ad court (Wide),Return. Backhand,Tanner Ige,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on serve,
1332,6,Set 1; 3:3; *0:0,5234,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Tanner Ige,1st serve,Deuce court (Wide),Return. Forehand,Blake Bothmer,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
1358,8,Set 1; 3:3; *15:0,5237,Tanner Ige,Blake Bothmer,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Half court zone,Ending shot. Middle,Tanner Ige,1st serve,Ad court (Body),Return. Backhand,Blake Bothmer,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Cheap Point on serve,
1377,9,Set 1; 3:3; *30:0,5242,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Aggressive,Ending shot. Short,Tanner Ige,1st serve,Deuce court (Body),Return. Forehand,Blake Bothmer,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1411,10,Set 1; 3:3; *40:0,5248,Blake Bothmer,Tanner Ige,Winner/Provoked Point,Provoked Point,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Approach Shot,Cross,Ending shot. Half court zone,Ending shot. Deep,Tanner Ige,2nd serve,Ad court (Body),Return. Forehand,Blake Bothmer,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on return,
1438,6,Set 1; 3:3; *40:15,5252,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Tanner Ige,1st serve,Deuce court (Body),Return. Forehand,Blake Bothmer,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
1533,17,Set 1; 4:3; 0:0*,5261,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,9+ shots,9,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Short,Blake Bothmer,1st serve,Deuce court (T),Return. Backhand,Tanner Ige,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
1567,6,Set 1; 4:3; 15:0*,5264,Blake Bothmer,Tanner Ige,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Defensive,Ending shot. Short,Blake Bothmer,1st serve,Ad court (Body),Return. Backhand,Tanner Ige,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,,,,,,Not a Cheap point,
