1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1522,7,Set 1; 2:2; 15:40*,5222,Neil Chulani,Anirudh Gupta,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Neil Chulani,1st serve,Deuce court (Wide),Return. Forehand,Anirudh Gupta,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,,,,,,Cheap Point on serve,
1614,14,Set 1; 2:3; *0:0,5230,Anirudh Gupta,Neil Chulani,Winner/Provoked Point,Winner,5-8 shots,7,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Smash,,Ending shot. Net Area,Ending shot. Middle,Anirudh Gupta,1st serve,Deuce court (Body),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
1642,5,Set 1; 2:3; *15:0,5232,Anirudh Gupta,Neil Chulani,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Anirudh Gupta,1st serve,Ad court (T),,Neil Chulani,,,,,,,,,,Ace/Serve-winner,
1669,7,Set 1; 2:3; *30:0,5235,Neil Chulani,Anirudh Gupta,Winner/Provoked Point,Provoked Point,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Anirudh Gupta,2nd serve,Deuce court (Body),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Cheap Point on return,
1697,9,Set 1; 2:3; *30:15,5241,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Defensive,Ending shot. Middle,Anirudh Gupta,1st serve,Ad court (Body),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
1723,8,Set 1; 2:3; *40:15,5245,Neil Chulani,Anirudh Gupta,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Anirudh Gupta,1st serve,Deuce court (Body),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
1741,20,Set 1; 2:3; *40:30,5255,Anirudh Gupta,Neil Chulani,Winner/Provoked Point,Provoked Point,9+ shots,10,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Middle,Anirudh Gupta,1st serve,Ad court (T),Return. Forehand,Neil Chulani,Return. Slice,Cross,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
1818,34,Set 1; 3:3; 0:0*,5281,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,9+ shots,23,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Neil Chulani,2nd serve,Deuce court (T),Return. Backhand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1916,5,Set 1; 3:3; 15:0*,5284,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Neil Chulani,2nd serve,Ad court (Wide),,Anirudh Gupta,,,,,,,,,,Not a Cheap point,
1945,21,Set 1; 3:3; 30:0*,5294,Anirudh Gupta,Neil Chulani,Winner/Provoked Point,Provoked Point,9+ shots,11,15:30 and 0:30,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Middle,Neil Chulani,1st serve,Deuce court (Body),Return. Forehand,Anirudh Gupta,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
2002,13,Set 1; 3:3; 40:0*,5302,Neil Chulani,Anirudh Gupta,Unforced Error,Unforced Error,5-8 shots,6,Break Point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Half court zone,Ending shot. Deep,Neil Chulani,1st serve,Ad court (Wide),Return. Backhand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
2064,13,Set 1; 3:3; 40:15*,5310,Anirudh Gupta,Neil Chulani,Winner/Provoked Point,Winner,5-8 shots,6,Break Point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Neil Chulani,2nd serve,Deuce court (Body),Return. Forehand,Anirudh Gupta,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Cheap Point on return,
2162,14,Set 1; 4:3; *0:0,5318,Neil Chulani,Anirudh Gupta,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Anirudh Gupta,1st serve,Deuce court (Body),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
2200,7,Set 1; 4:3; *0:15,5322,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Half court zone,Ending shot. Deep,Anirudh Gupta,2nd serve,Ad court (Wide),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Down the line,Return. Half court zone,Return. Deep,,,,,,Not a Cheap point,
2231,6,Set 1; 4:3; *15:15,5323,Anirudh Gupta,Neil Chulani,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Anirudh Gupta,1st serve,Deuce court (Body),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,,,,,,Cheap Point on serve,
2261,8,Set 1; 4:3; *30:15,5327,Neil Chulani,Anirudh Gupta,Winner/Provoked Point,Provoked Point,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside out,Ending shot. Half court zone,Ending shot. Deep,Anirudh Gupta,2nd serve,Ad court (Body),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on return,
2303,24,Set 1; 4:3; *30:30,5344,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,9+ shots,14,30:30 and 40:40,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Defensive,Ending shot. Deep,Anirudh Gupta,2nd serve,Deuce court (Body),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2366,6,Set 1; 4:3; *40:30,5347,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Anirudh Gupta,1st serve,Ad court (Wide),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
2441,8,Set 1; 5:3; 0:0*,5351,Neil Chulani,Anirudh Gupta,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Neil Chulani,2nd serve,Deuce court (T),Return. Backhand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Cheap Point on serve,
