1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1001,6,Set 1; 1:3; *40:15,5149,Jay Mallampati,Jack Scott,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Jay Mallampati,1st serve,Deuce court (T),Return. Forehand,Jack Scott,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,,,,,,Cheap Point on serve,
1121,6,Set 1; 2:3; 0:0*,5152,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Deep,Jack Scott,1st serve,Deuce court (Body),Return. Forehand,Jay Mallampati,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
1153,12,Set 1; 2:3; 0:15*,5158,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Deep,Jack Scott,1st serve,Ad court (Body),Return. Backhand,Jay Mallampati,Return. Slice,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
1201,26,Set 1; 2:3; 0:30*,5175,Jay Mallampati,Jack Scott,Unforced Error,Unforced Error,9+ shots,15,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Passing Shot,Cross,Ending shot. Neutral Aggressive,Ending shot. Middle,Jack Scott,2nd serve,Deuce court (Wide),Return. Forehand,Jay Mallampati,Return. Topspin/Flat,Down the line,Return. Half court zone,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
1253,20,Set 1; 2:3; 15:30*,5188,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,9+ shots,12,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Deep,Jack Scott,1st serve,Ad court (Wide),Return. Backhand,Jay Mallampati,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
1293,10,Set 1; 2:3; 15:40*,5193,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Short,Jack Scott,1st serve,Deuce court (Body),Return. Forehand,Jay Mallampati,Return. Topspin/Flat,Down the line,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
1319,11,Set 1; 2:4; *0:0,5197,Jay Mallampati,Jack Scott,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Short,Jay Mallampati,1st serve,Deuce court (T),Return. Forehand,Jack Scott,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Cheap Point on serve,
1348,6,Set 1; 2:4; *15:0,5201,Jay Mallampati,Jack Scott,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Middle,Jay Mallampati,1st serve,Ad court (Body),Return. Forehand,Jack Scott,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Middle,,,,,,Not a Cheap point,
1364,8,Set 1; 2:4; *30:0,5204,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat/Other,Center,Ending shot. Net Area,Ending shot. Deep,Jay Mallampati,1st serve,Deuce court (T),Return. Forehand,Jack Scott,Return. Drop Shot,Cross,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat/Other,Center,Serve + 1 shot. Net Area,Serve + 1 shot. Deep,Not a Cheap point,
1382,5,Set 1; 2:4; *30:15,5206,Jay Mallampati,Jack Scott,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Jay Mallampati,1st serve,Ad court (Wide),,Jack Scott,,,,,,,,,,Ace/Serve-winner,
