1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
9120,8,Set 3; 3:3; 0:0*,6234,Sam English,Hugh Hentschel,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Slice,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Hugh Hentschel,1st serve,Deuce court (T),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
9151,6,Set 3; 3:3; 15:0*,6238,Hugh Hentschel,Sam English,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Aggressive,Ending shot. Deep,Hugh Hentschel,2nd serve,Ad court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
9174,9,Set 3; 3:3; 15:15*,6242,Hugh Hentschel,Sam English,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Slice,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Hugh Hentschel,1st serve,Deuce court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Not a Cheap point,
9212,16,Set 3; 3:3; 15:30*,6253,Sam English,Hugh Hentschel,Unforced Error,Unforced Error,9+ shots,9,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Slice,Inside center,Ending shot. Defensive,Ending shot. Short,Hugh Hentschel,2nd serve,Ad court (Body),Return. Backhand,Sam English,Return. Approach Shot,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
9262,12,Set 3; 3:3; 30:30*,6261,Hugh Hentschel,Sam English,Unforced Error,Unforced Error,5-8 shots,6,30:30 and 40:40,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Drop Shot,,Ending shot. Half court zone,Ending shot. Short,Hugh Hentschel,2nd serve,Deuce court (T),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
9293,11,Set 3; 3:3; 30:40*,6267,Sam English,Hugh Hentschel,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Deep,Hugh Hentschel,1st serve,Ad court (T),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
9324,8,Set 3; 3:3; 40:40*,6271,Sam English,Hugh Hentschel,Unforced Error,Unforced Error,3-4 shots,3,30:30 and 40:40,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside out,Ending shot. Half court zone,Ending shot. Deep,Hugh Hentschel,1st serve,Ad court (T),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
9397,7,Set 3; 4:3; *0:0,6274,Sam English,Hugh Hentschel,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Sam English,1st serve,Deuce court (T),Return. Backhand,Hugh Hentschel,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Deep,,,,,,Not a Cheap point,
9413,10,Set 3; 4:3; *15:0,6279,Sam English,Hugh Hentschel,Winner/Provoked Point,Provoked Point,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Deep,Sam English,1st serve,Ad court (T),Return. Forehand,Hugh Hentschel,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Deep,Cheap Point on serve,
9435,10,Set 3; 4:3; *30:0,6286,Sam English,Hugh Hentschel,Winner/Provoked Point,Winner,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Middle,Sam English,1st serve,Deuce court (Wide),Return. Forehand,Hugh Hentschel,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Middle,Cheap Point on serve,
9461,12,Set 3; 4:3; *40:0,6291,Hugh Hentschel,Sam English,Winner/Provoked Point,Provoked Point,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Passing Shot,Center,Ending shot. Neutral Defensive,Ending shot. Short,Sam English,1st serve,Ad court (Wide),Return. Backhand,Hugh Hentschel,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Volley,,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on return,
9492,10,Set 3; 4:3; *40:15,6298,Sam English,Hugh Hentschel,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Defensive,Ending shot. Deep,Sam English,2nd serve,Deuce court (T),Return. Backhand,Hugh Hentschel,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
9526,17,Set 3; 5:3; 0:0*,6309,Sam English,Hugh Hentschel,Winner/Provoked Point,Winner,9+ shots,10,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Deep,Hugh Hentschel,1st serve,Deuce court (Wide),Return. Forehand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
9588,12,Set 3; 5:3; 15:0*,6317,Hugh Hentschel,Sam English,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Short,Hugh Hentschel,2nd serve,Ad court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
9631,11,Set 3; 5:3; 15:15*,6324,Hugh Hentschel,Sam English,Winner/Provoked Point,Winner,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside out,Ending shot. Half court zone,Ending shot. Middle,Hugh Hentschel,2nd serve,Deuce court (T),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Cheap Point on serve,
9665,6,Set 3; 5:3; 15:30*,6327,Hugh Hentschel,Sam English,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Hugh Hentschel,1st serve,Ad court (T),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Deep,,,,,,Not a Cheap point,
9687,6,Set 3; 5:3; 15:40*,6329,Hugh Hentschel,Sam English,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Hugh Hentschel,1st serve,Deuce court (T),Return. Backhand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral defensive,Return. Short,,,,,,Not a Cheap point,
9752,7,Set 3; 5:4; *0:0,6331,Sam English,Hugh Hentschel,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,End: 9-12 game,Ending shot. Return,Ending shot. Slice,Cross,Ending shot. Defensive,Ending shot. Short,Sam English,1st serve,Deuce court (T),Return. Backhand,Hugh Hentschel,Return. Slice,Cross,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
9772,9,Set 3; 5:4; *15:0,6334,Hugh Hentschel,Sam English,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside out,Ending shot. Half court zone,Ending shot. Deep,Sam English,1st serve,Ad court (T),Return. Forehand,Hugh Hentschel,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
9795,6,Set 3; 5:4; *15:15,6337,Sam English,Hugh Hentschel,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,End: 9-12 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Sam English,1st serve,Deuce court (T),Return. Backhand,Hugh Hentschel,Return. Topspin/Flat,Down the line,Return. Neutral defensive,Return. Short,,,,,,Not a Cheap point,
9814,5,Set 3; 5:4; *30:15,6338,Sam English,Hugh Hentschel,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,End: 9-12 game,Ending shot. Serve,,,,,Sam English,1st serve,Ad court (T),,Hugh Hentschel,,,,,,,,,,Ace/Serve-winner,
9841,17,Set 3; 5:4; *40:15,6347,Sam English,Hugh Hentschel,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,End: 9-12 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Sam English,2nd serve,Deuce court (T),Return. Forehand,Hugh Hentschel,Return. Slice,Down the line,Return. Neutral defensive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
