1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1008,14,Set 1; 2:1; 40:40*,5124,Henry Hyden,Neil Chulani,Winner/Provoked Point,Provoked Point,5-8 shots,6,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Approach Shot,Cross,Ending shot. Half court zone,Ending shot. Middle,Henry Hyden,2nd serve,Ad court (Body),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Cheap Point on serve,
1079,12,Set 1; 2:2; *0:0,5133,Neil Chulani,Henry Hyden,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Passing Shot,Center,Ending shot. Neutral Aggressive,Ending shot. Short,Neil Chulani,2nd serve,Deuce court (T),Return. Backhand,Henry Hyden,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
1121,9,Set 1; 2:2; *15:0,5137,Henry Hyden,Neil Chulani,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Neil Chulani,1st serve,Ad court (Wide),Return. Backhand,Henry Hyden,Return. Topspin/Flat,Down the line,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Short,Not a Cheap point,
1161,10,Set 1; 2:2; *15:15,5143,Neil Chulani,Henry Hyden,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Neil Chulani,2nd serve,Deuce court (T),Return. Backhand,Henry Hyden,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
1198,7,Set 1; 2:2; *30:15,5146,Neil Chulani,Henry Hyden,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Defensive,Ending shot. Short,Neil Chulani,1st serve,Ad court (T),Return. Forehand,Henry Hyden,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Short,,,,,,Not a Cheap point,
1226,6,Set 1; 2:2; *40:15,5147,Neil Chulani,Henry Hyden,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Neil Chulani,1st serve,Deuce court (T),Return. Backhand,Henry Hyden,Return. Topspin/Flat,Cross,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
1330,8,Set 1; 3:2; 0:0*,5152,Neil Chulani,Henry Hyden,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Henry Hyden,2nd serve,Deuce court (Body),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
1363,7,Set 1; 3:2; 15:0*,5156,Neil Chulani,Henry Hyden,Winner/Provoked Point,Winner,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Middle,Henry Hyden,2nd serve,Ad court (Wide),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Middle,,,,,,Cheap Point on return,
1398,7,Set 1; 3:2; 30:0*,5159,Henry Hyden,Neil Chulani,Unforced Error,Unforced Error,1-2 shots,2,15:30 and 0:30,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Henry Hyden,2nd serve,Deuce court (T),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
1433,5,Set 1; 3:2; 30:15*,5161,Neil Chulani,Henry Hyden,Unforced Error,Unforced Error,1-2 shots,1,15:30 and 0:30,Middle: 5-8 game,Ending shot. Serve,,,,,Henry Hyden,2nd serve,Ad court (T),,Neil Chulani,,,,,,,,,,Not a Cheap point,
